service_id,date,exception_type
c2c64c82-33c7-4991-98d3-79395a7f1752,20131219,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131114,1
7da112eb-1f7c-40c2-8987-3058df05c1dd,20131025,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131102,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131229,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131105,1
e6e15fcd-63e9-4ee9-9459-17bf4ec88e9d,20131005,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131119,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131010,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131222,1
0e682d76-723a-48af-b578-520656df8005,20131111,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131013,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131230,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131020,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131226,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131120,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131224,1
0e682d76-723a-48af-b578-520656df8005,20131104,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131227,1
5176b86e-fe54-4833-8b97-b827a5f15979,20131206,1
7da112eb-1f7c-40c2-8987-3058df05c1dd,20131018,1
7da112eb-1f7c-40c2-8987-3058df05c1dd,20131108,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131221,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131218,1
5176b86e-fe54-4833-8b97-b827a5f15979,20131004,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131113,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131026,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131029,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131110,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131228,1
0e682d76-723a-48af-b578-520656df8005,20131118,1
e6e15fcd-63e9-4ee9-9459-17bf4ec88e9d,20131207,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131008,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131225,1
e6e15fcd-63e9-4ee9-9459-17bf4ec88e9d,20131012,1
0e682d76-723a-48af-b578-520656df8005,20131007,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131213,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131015,1
5176b86e-fe54-4833-8b97-b827a5f15979,20131115,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131127,1
5176b86e-fe54-4833-8b97-b827a5f15979,20131122,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131211,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131023,1
0e682d76-723a-48af-b578-520656df8005,20131028,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131121,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131022,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131205,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131019,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131030,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131128,1
0e682d76-723a-48af-b578-520656df8005,20131125,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131208,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131117,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131129,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131220,1
5176b86e-fe54-4833-8b97-b827a5f15979,20131011,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131204,1
7da112eb-1f7c-40c2-8987-3058df05c1dd,20131101,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131109,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131124,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131006,1
0e682d76-723a-48af-b578-520656df8005,20131014,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131112,1
0e682d76-723a-48af-b578-520656df8005,20131021,1
0e682d76-723a-48af-b578-520656df8005,20131209,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131130,1
e6e15fcd-63e9-4ee9-9459-17bf4ec88e9d,20131116,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131024,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131031,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131016,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131009,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131216,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131214,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131017,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131231,1
0e682d76-723a-48af-b578-520656df8005,20131202,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131210,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131201,1
98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,20131106,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131027,1
9a77c6bc-231a-434b-92b1-b972002a1637,20131103,1
e6e15fcd-63e9-4ee9-9459-17bf4ec88e9d,20131123,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131223,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131203,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131212,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131003,1
b760df31-79f8-4ffb-9dab-2a660c81c9cc,20131215,1
af80503c-b9a1-4d9f-9973-e7f79c948b44,20131126,1
c2c64c82-33c7-4991-98d3-79395a7f1752,20131217,1
12193c9f-7f5d-40ea-885b-1ab384517eda,20131107,1
