30.6128888197475 , -96.3421600366926 , 0 , *
30.61357948861 , -96.3413258696393 , 1 , Fish Pond
30.6159076461737 , -96.3433469142524 , 2 , Fish Pond
30.6163689861517 , -96.343101492113 , 3 , College Main Parking Garage
30.6168303261298 , -96.3425181116174 , 4 , College Main Parking Garage
30.6190739941045 , -96.3445928004141 , 5 , College Main Parking Garage
30.6199188899946 , -96.3457287159996 , 6 , College Main Parking Garage
30.6192215156091 , -96.3463912216658 , 7 , College Main Parking Garage
30.6195299696642 , -96.3467506376952 , 8 , Spruce St.
30.6219493223398 , -96.3492692321103 , 9 , Spruce St.
30.6248809769679 , -96.3524852009109 , 10 , Aggie Station
30.6270508841903 , -96.3551151070067 , 11 , Village on the Creek
30.6260933355149 , -96.3558406445885 , 12 , Village on the Creek
30.6251679733496 , -96.3567753944859 , 13 , The Islands
30.627032108726 , -96.3584504341156 , 14 , The Islands
30.6284067409281 , -96.3597325301011 , 15 , Reveille Ranch
30.6308529156955 , -96.3619413293565 , 16 , Wellborn @ Tee
30.6329369922243 , -96.3638698377532 , 17 , Wellborn @ Tee
30.6345262011603 , -96.3656910577828 , 18 , Villa Maria @ Green St.
30.6379996620416 , -96.3617160237858 , 19 , Villa Maria @ Green St.
30.6396907949263 , -96.3582452451137 , 20 , Blinn Athletics
30.6351270160155 , -96.3546832713296 , 21 , Blinn Athletics
30.634575 , -96.354625 , 22 , Blinn Athletics
30.6331435223307 , -96.354174992691 , 23 , Academic Village
30.6310943145212 , -96.3545625719167 , 24 , Academic Village
30.6269650534967 , -96.355172774504 , 25 , Aggie Station
30.6248179450523 , -96.3525281162577 , 26 , Aggie Station
30.6219225002481 , -96.349302759725 , 27 , Spruce St.
30.619504488677 , -96.3467881886237 , 28 , College Main Parking Garage
30.6191718947394 , -96.3464462069539 , 29 , Fish Pond
30.6180037926438 , -96.3477457372991 , 30 , Fish Pond
30.6170824537922 , -96.346855243853 , 31 , Fish Pond
30.6180426846768 , -96.3457246926859 , 32 , Fish Pond
30.6164373824857 , -96.3436097707516 , 33 , Fish Pond
30.6159156928012 , -96.3434448148873 , 34 , MSC
30.6151539453956 , -96.3446638789573 , 35 , MSC
30.614232606544 , -96.3450300005096 , 36 , MSC
30.6132026382209 , -96.3447805550564 , 37 , MSC
30.6126420565034 , -96.3439343180617 , 38 , MSC
30.6125186748814 , -96.3427675570707 , 39 , MSC
30.6128888197475 , -96.3421600366926 , 40 , MSC
