shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8d09d153-f475-4f7b-b815-d041ee32d285,30.6102468437103,-96.3462919799264,14,3370.38
8d09d153-f475-4f7b-b815-d041ee32d285,30.615159309814,-96.3373307190735,0,0
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6192215156091,-96.3463912216658,7,1128.05
2828670d-620c-4206-aac9-4fa44ee4e8b8,30.6119071311895,-96.3185109983987,0,0
8d09d153-f475-4f7b-b815-d041ee32d285,30.6168356905482,-96.3424738551661,7,1504.37
8d09d153-f475-4f7b-b815-d041ee32d285,30.6068176392804,-96.3471435813394,22,4661.06
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.605307555515,-96.3431055154267,15,2308.19
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6044975283442,-96.3484913914496,13,1749.32
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6065132085391,-96.3469155935595,46,8349.95
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6003602206922,-96.3521552891824,18,2677.03
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6097332006534,-96.3466996757209,51,8844.42
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6170824537922,-96.346855243853,31,7912.79
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6094676619451,-96.3469638733246,50,8805.57
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6191718947394,-96.3464462069539,29,7599.92
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6007008612574,-96.3573721860273,22,3414.12
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6046758952544,-96.3543225141956,26,4044.24
8d09d153-f475-4f7b-b815-d041ee32d285,30.6189492713779,-96.339402725661,32,6607.42
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6114806599308,-96.3470859138421,21,3196.56
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6634712614698,-96.352793654966,35,10623.89
8d09d153-f475-4f7b-b815-d041ee32d285,30.6144458421734,-96.3425918723698,28,5917.28
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6164373824857,-96.3436097707516,8,1583.3
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6046651664177,-96.3419387544357,14,2175.72
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6124583251749,-96.3484659104625,7,1174.96
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6133796640265,-96.3414653445164,57,9734.95
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6128888197475,-96.3421600366926,14,2297.65
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.609536058279,-96.3471851555816,10,1346.85
65da8aba-5a77-44d3-baab-11695d619ef3,30.613595581865,-96.3383955561158,10,3387.98
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6067680184107,-96.3471972255228,9,1432.81
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6424695636314,-96.3320655424634,21,6198.14
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6072937314089,-96.3476464955596,8,1360.29
65da8aba-5a77-44d3-baab-11695d619ef3,30.6080232923045,-96.3128300793666,0,0
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6177959214327,-96.3545330676158,15,3272.94
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6018300713199,-96.3528446169403,40,7318.26
65da8aba-5a77-44d3-baab-11695d619ef3,30.6135620542504,-96.3382963143764,9,3377.78
2828670d-620c-4206-aac9-4fa44ee4e8b8,30.612520015986,-96.3251910403485,7,832.07
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6056777003811,-96.3473367003999,45,8248.75
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6097332006534,-96.3466996757209,19,2937.18
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6180426846768,-96.3457246926859,32,8064.69
