route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
b3252f98-44cb-4dde-b695-717523c5c748,0e682d76-723a-48af-b578-520656df8005,4f458a93-0b36-43e5-9703-d984f0764e7f,764b2b11-004d-4943-bf06-88b4d67e463b,,0,be19ac30-d500-44da-8275-ba25c2bb68c2
b3252f98-44cb-4dde-b695-717523c5c748,5176b86e-fe54-4833-8b97-b827a5f15979,3372e20e-e897-4c94-b2ab-8bdec46f6947,764b2b11-004d-4943-bf06-88b4d67e463b,,0,94758a62-1db1-4eb0-be4b-677a7661699d
b3252f98-44cb-4dde-b695-717523c5c748,12193c9f-7f5d-40ea-885b-1ab384517eda,e15ce10a-9476-4c0d-8b17-ad12d2df24f6,764b2b11-004d-4943-bf06-88b4d67e463b,,0,15666be2-b468-4561-9093-f8b4a580ab70
9506a117-a8e2-4d40-8d51-8833679c777a,12193c9f-7f5d-40ea-885b-1ab384517eda,2e5af254-9616-49cc-8af8-30e108334652,d7ea0482-eb9d-459f-b0d7-c875592dabed,,0,11454b63-d6d1-4365-a4f3-88d2458daea8
ece031c0-6089-44bf-a735-0179a80cad8c,7da112eb-1f7c-40c2-8987-3058df05c1dd,d202b8f1-dee2-4194-8f67-7811bfcef7da,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,d56be69a-4af5-472d-94ab-b4053dab9a4f
366be25f-5d1c-4bb2-9a11-a6b310ce25a4,12193c9f-7f5d-40ea-885b-1ab384517eda,c8e5eff2-f629-4b55-8208-307be94d3eca,fbfc6382-05c4-429c-9837-e0e3c37adaa9,,0,921faaab-babf-49cd-bd11-8c2628a8eb9d
ece031c0-6089-44bf-a735-0179a80cad8c,af80503c-b9a1-4d9f-9973-e7f79c948b44,cbdd61fc-8f2e-4a0d-93f3-6725ff49c398,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,45e93ce6-c165-4777-9b3f-2ed8233c69a7
ece031c0-6089-44bf-a735-0179a80cad8c,98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,0fd359c6-ba8e-4b02-bd37-cb564ec99cbe,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,12905f3c-47dc-4b53-8ee0-a55eb75d252a
ece031c0-6089-44bf-a735-0179a80cad8c,0e682d76-723a-48af-b578-520656df8005,3f78e911-b6cc-4abd-b02e-1b0426f81da6,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,20b2ca5a-6899-4d12-af41-e2ce94fdc4a4
b3252f98-44cb-4dde-b695-717523c5c748,98014c3b-76b6-4dfa-9cf5-13bcc65c4fa9,ecd52c7e-10ce-4a39-ac70-a73d4211b9db,764b2b11-004d-4943-bf06-88b4d67e463b,,0,7ed9cb61-e9d2-464d-bac5-45ccf94d6f37
04741d8d-f63f-4ff7-9bc1-23b741ea2665,af80503c-b9a1-4d9f-9973-e7f79c948b44,a8c74ac8-37c6-4ef4-8093-49920e363031,f8931a03-3bc9-4168-98a6-63fe30d60a2f,,0,0705618b-8bef-49bc-bdd1-9c6d768141f9
04741d8d-f63f-4ff7-9bc1-23b741ea2665,5176b86e-fe54-4833-8b97-b827a5f15979,282522e7-53f4-40d8-9652-dc57cde3d213,f8931a03-3bc9-4168-98a6-63fe30d60a2f,,0,1536c26b-0013-42d9-911a-31504270ddcb
75507f68-591c-4874-a01b-24b49d1efd9d,12193c9f-7f5d-40ea-885b-1ab384517eda,673393fc-c599-441c-ad3f-f9754483bdf2,01a8fe84-5758-4cea-b642-41f6534cd8ac,,0,41ecc8e2-387b-4b91-9086-0bef6c5ae621
75507f68-591c-4874-a01b-24b49d1efd9d,0e682d76-723a-48af-b578-520656df8005,3dac5e0d-3381-4635-a19f-3de397318eaf,01a8fe84-5758-4cea-b642-41f6534cd8ac,,0,abdc9613-1df3-41b7-8854-6ce7be660a08
ece031c0-6089-44bf-a735-0179a80cad8c,12193c9f-7f5d-40ea-885b-1ab384517eda,08cef071-b502-4f30-8dd0-6d2de0992c65,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,9440a3af-0404-49fb-a458-61b84e1dbb65
b3252f98-44cb-4dde-b695-717523c5c748,5176b86e-fe54-4833-8b97-b827a5f15979,61f7dbb2-1491-4e3b-adeb-9d734083e974,764b2b11-004d-4943-bf06-88b4d67e463b,,0,94dbbea4-0c4c-49a2-b62d-94b774904ac2
366be25f-5d1c-4bb2-9a11-a6b310ce25a4,7da112eb-1f7c-40c2-8987-3058df05c1dd,9cd1b51b-4131-4777-b8d6-d55fd71c08ff,fbfc6382-05c4-429c-9837-e0e3c37adaa9,,0,37d718a6-2296-4754-8f59-c118ac727b30
9506a117-a8e2-4d40-8d51-8833679c777a,7da112eb-1f7c-40c2-8987-3058df05c1dd,c06b29b5-6cfa-4f8a-803c-0d6b3c017be6,d7ea0482-eb9d-459f-b0d7-c875592dabed,,0,aa91e74c-6c24-4232-83ab-dbfe023dd1da
75507f68-591c-4874-a01b-24b49d1efd9d,0e682d76-723a-48af-b578-520656df8005,16d35bdd-c9f3-4d53-8a45-96a4fc446ef5,01a8fe84-5758-4cea-b642-41f6534cd8ac,,0,a7c6edb2-943b-4db2-9330-03e048804579
75507f68-591c-4874-a01b-24b49d1efd9d,12193c9f-7f5d-40ea-885b-1ab384517eda,d88a7731-85aa-4d4f-a505-b0f522eca36a,01a8fe84-5758-4cea-b642-41f6534cd8ac,,0,9ffd03d1-d05a-460e-bd4b-37c749d3e4b3
ece031c0-6089-44bf-a735-0179a80cad8c,7da112eb-1f7c-40c2-8987-3058df05c1dd,4385e237-3dcb-49c6-873b-537116754790,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,8cada8e1-e1e8-406a-b9e8-8be5e494f28f
366be25f-5d1c-4bb2-9a11-a6b310ce25a4,0e682d76-723a-48af-b578-520656df8005,45e7c28c-799f-4c7c-abb4-1dd315a5d1c8,fbfc6382-05c4-429c-9837-e0e3c37adaa9,,0,5155f5fe-c721-4570-b179-a578098102f4
366be25f-5d1c-4bb2-9a11-a6b310ce25a4,af80503c-b9a1-4d9f-9973-e7f79c948b44,5573c5f3-bc9d-4942-beb3-40ff1ddf8c5d,fbfc6382-05c4-429c-9837-e0e3c37adaa9,,0,be2fdb3c-45b0-4384-8a91-749ba4af7698
ece031c0-6089-44bf-a735-0179a80cad8c,af80503c-b9a1-4d9f-9973-e7f79c948b44,4831ac34-8d87-4109-b505-35ba654f78c7,3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,,0,5d42f7f5-622e-403b-81eb-e71a960f5469
