10, 206, 13-11-10 16:44:00, 13-11-10 16:49:00, 04N
206, 10, 13-11-10 16:49:00, 13-11-10 16:55:00, 04N
10, 112, 13-11-10 17:00:00, 13-11-10 17:05:00, 04N
112, 115, 13-11-10 17:05:00, 13-11-10 17:10:00, 04N
115, 116, 13-11-10 17:10:00, 13-11-10 17:13:00, 04N
116, 10, 13-11-10 17:13:00, 13-11-10 17:19:00, 04N
10, 206, 13-11-10 17:19:00, 13-11-10 17:24:00, 04N
206, 10, 13-11-10 17:24:00, 13-11-10 17:30:00, 04N
10, 112, 13-11-10 17:35:00, 13-11-10 17:40:00, 04N
112, 115, 13-11-10 17:40:00, 13-11-10 17:45:00, 04N
115, 116, 13-11-10 17:45:00, 13-11-10 17:48:00, 04N
116, 10, 13-11-10 17:48:00, 13-11-10 17:54:00, 04N
10, 206, 13-11-10 17:54:00, 13-11-10 17:59:00, 04N
206, 10, 13-11-10 17:59:00, 13-11-10 18:05:00, 04N
10, 112, 13-11-10 18:10:00, 13-11-10 18:15:00, 04N
112, 115, 13-11-10 18:15:00, 13-11-10 18:20:00, 04N
10, 42, 13-11-10 09:00:00, 13-11-10 09:08:00, 12
42, 47, 13-11-10 09:08:00, 13-11-10 09:14:00, 12
47, 50, 13-11-10 09:14:00, 13-11-10 09:25:00, 12
50, 52, 13-11-10 09:25:00, 13-11-10 09:34:00, 12
52, 42, 13-11-10 09:34:00, 13-11-10 09:42:00, 12
42, 10, 13-11-10 09:42:00, 13-11-10 09:55:00, 12
10, 42, 13-11-10 10:00:00, 13-11-10 10:08:00, 12
42, 47, 13-11-10 10:08:00, 13-11-10 10:14:00, 12
47, 50, 13-11-10 10:14:00, 13-11-10 10:25:00, 12
50, 52, 13-11-10 10:25:00, 13-11-10 10:34:00, 12
52, 42, 13-11-10 10:34:00, 13-11-10 10:42:00, 12
42, 10, 13-11-10 10:42:00, 13-11-10 10:55:00, 12
10, 42, 13-11-10 11:00:00, 13-11-10 11:08:00, 12
42, 47, 13-11-10 11:08:00, 13-11-10 11:14:00, 12
47, 50, 13-11-10 11:14:00, 13-11-10 11:25:00, 12
50, 52, 13-11-10 11:25:00, 13-11-10 11:34:00, 12
52, 42, 13-11-10 11:34:00, 13-11-10 11:42:00, 12
42, 10, 13-11-10 11:42:00, 13-11-10 11:55:00, 12
10, 42, 13-11-10 12:00:00, 13-11-10 12:08:00, 12
42, 47, 13-11-10 12:08:00, 13-11-10 12:14:00, 12
47, 50, 13-11-10 12:14:00, 13-11-10 12:25:00, 12
50, 52, 13-11-10 12:25:00, 13-11-10 12:34:00, 12
52, 42, 13-11-10 12:34:00, 13-11-10 12:42:00, 12
42, 10, 13-11-10 12:42:00, 13-11-10 12:55:00, 12
10, 42, 13-11-10 13:00:00, 13-11-10 13:08:00, 12
42, 47, 13-11-10 13:08:00, 13-11-10 13:14:00, 12
47, 50, 13-11-10 13:14:00, 13-11-10 13:25:00, 12
50, 52, 13-11-10 13:25:00, 13-11-10 13:34:00, 12
