stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
eb9e369c-fbc0-43b7-80d4-ece9b9ee80c3,2704,"Enclave","",30.6118387348556,-96.3184291910189,0
6f0a5520-04dd-40a1-9832-b1da52076121,2705,"Arbors @ Wolf Pen Creek","",30.6161611149407,-96.312077719693,0
befe16c0-0c94-4fcf-bb7f-72f1699cd472,2706,"River Oaks Townhomes","",30.6177892159098,-96.3101076370542,0
d431e639-6199-46db-9143-fd3046f52839,2707,"Lofts @ Wolf Pen Creek","",30.6183712553007,-96.3080342893621,0
11052373-4436-4414-a8bd-655e299fa9d5,2708,"Mall Park - n - Ride","",30.6207114828057,-96.3045219364477,0
85b5d3d0-3983-44cc-9f93-e892320f05e6,2709,"Lofts @ Wolf Pen Creek","",30.6184262405888,-96.3081737642392,0
7f4eec37-a6cc-4a21-b758-ed5925d74f2d,2710,"River Oaks Townhomes","",30.6178442011979,-96.3102028554799,0
9b20a500-4d06-4862-883e-3bfb930e9f2b,2711,"Arbors @ Wolf Pen Creek","",30.6156783172892,-96.3126879222803,0
7819e7ba-3f78-4d4c-a345-33a97288fb42,2712,"HEB","",30.6119071311895,-96.3185109983987,0
334e48a1-5665-45b9-a0a5-13ca84be0944,2713,"Village","",30.6108181542646,-96.320265163199,0
65096ae9-f804-474c-ad01-863651d9fc4b,2206,"Plantation Oaks","",30.6275309996325,-96.3064853135637,0
1db12ce8-5919-4fbb-98c2-01709082fa19,2207,"Briarwood","",30.6264822558452,-96.3097951596853,0
3754d03d-aa1d-494e-b52d-0aa2e9ef5796,2208,"Cripple Creek","",30.6240722909017,-96.3128247149482,0
23226205-761d-4e91-a0ee-f82ae875cd8d,2209,"Polo Club","",30.6215590609049,-96.3156504223138,0
0c46f3c9-ecbd-4e95-93a0-c54dfe7e4381,2210,"The Cambridge","",30.6203064692203,-96.3170947919544,0
90f4a468-deb0-41a0-b125-9bfd660cf967,2201,"Trigon","",30.613533891054,-96.3392927550848,0
97f8ad42-a4d6-4ccc-95ca-4f10ce3e0500,3601,"Trigon","",30.6138182052266,-96.3395502471656,0
e66759b8-0ada-443f-b3be-b35b5c588034,3602,"Treehouse","",30.6015189350557,-96.3389293157416,0
efaff9c1-c0b5-4894-bcee-a71799204319,3615,"Meadows Point 1","",30.5959399399722,-96.3365864060275,0
