shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
150ff52d-49ef-4879-b785-b166d3da3b95,30.6155388424122,-96.3140223213448,0,0
c301b660-69fb-4525-973d-ff832b31dbeb,30.6139523156853,-96.3396763109968,33,9350.91
a649a8b3-eefd-498c-b3a8-9d7936cad51e,30.6046919885094,-96.3389480912058,31,12490.97
3e641743-acb8-4b8d-b214-9b3fb497a261,30.6184047829154,-96.3235160007188,14,5621.59
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.611476636617,-96.319251288131,34,7808.35
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6146711477441,-96.3278397219086,6,1769.46
3674600a-90ac-40a1-ba63-eda48a9a7872,30.626785345482,-96.3431363608322,9,2040.99
ced50c5d-f7fd-412f-8e73-29172987ee41,30.6090143685946,-96.3205266785936,29,8503.93
e88ce525-e5a0-42af-af4d-5aede733f371,30.6190565597449,-96.339318236072,19,3719.69
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6225783003913,-96.3407518768759,15,3160.39
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6100657945911,-96.3217028273167,38,8115.92
a649a8b3-eefd-498c-b3a8-9d7936cad51e,30.5815793920505,-96.3163652310589,15,6485.01
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6208670509378,-96.3383915328021,16,3455.52
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6092289453285,-96.3208539081129,8,2670.89
b8ea702b-5f2e-45d5-bd56-2f68bce0544c,30.6047872069351,-96.3390459918407,4,1478.39
b30c24fa-6810-491f-ba96-65a82e21e27b,30.6142446764853,-96.3400008583069,43,8052.58
3674600a-90ac-40a1-ba63-eda48a9a7872,30.6189492713779,-96.339402725661,4,765.47
a649a8b3-eefd-498c-b3a8-9d7936cad51e,30.6146107980377,-96.3390392863178,0,0
c301b660-69fb-4525-973d-ff832b31dbeb,30.5981111882991,-96.3374822638918,7,2226.85
0458d0bf-9368-456e-b653-1ccd6de8a4fa,30.6088614826716,-96.3343105515427,5,875.19
996c3f41-3f39-4f07-8473-ac189155b1e4,30.5971308408458,-96.395651334265,18,7648.14
b8ea702b-5f2e-45d5-bd56-2f68bce0544c,30.5852875462346,-96.3268969253836,6,3939.12
